id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Iron Veil,Gravestone Protocol,metal,angry,0.97,168,0.21,0.51,0.03
12,Moonlit Sonata,Clara Voss,classical,romantic,0.24,66,0.78,0.29,0.97
13,Block Party,Kingsley Ave,hip-hop,confident,0.84,95,0.73,0.91,0.08
14,Velvet Night,Sable Rhodes,r&b,romantic,0.55,88,0.82,0.76,0.44
15,Dusty Road Home,The Carters,country,nostalgic,0.47,96,0.67,0.58,0.81
16,Island Time,Coral Tide,reggae,carefree,0.58,82,0.88,0.84,0.52
17,Rainy Delta,Old Man Blue,blues,melancholic,0.38,74,0.30,0.44,0.83
18,Voltage Drop,Synthex,edm,euphoric,0.96,140,0.85,0.95,0.02
19,Autumn Letters,The Birch Collective,folk,bittersweet,0.29,68,0.52,0.37,0.94
20,Fuego Lento,Marisol Cruz,latin,energetic,0.88,128,0.91,0.93,0.11
